tower_id,location,signal_strength,outage_flag,timestamp
T0,New Jeremychester,23.8,True,2026-03-11 00:49:35.319620
T1,North Laura,66.26,False,2026-01-07 14:59:07.889996
T2,Port Tammyhaven,20.12,False,2026-02-27 00:27:18.002532
T3,Lake Richardburgh,37.13,True,2026-01-30 10:44:34.651215
T4,Grimesberg,67.88,True,2026-03-23 09:34:16.734366
T5,North Nancy,67.57,False,2026-02-28 02:09:28.306755
T6,Janetfurt,9.97,True,2026-02-04 01:51:11.631697
T7,Bruceport,29.3,True,2026-03-12 06:04:25.210496
T8,Christinebury,23.87,False,2026-03-13 22:41:46.591619
T9,South Pennytown,33.52,False,2026-01-10 22:37:24.059703
T10,Weberland,1.86,False,2026-01-02 12:50:41.771458
T11,Port Carly,92.89,True,2026-03-01 11:33:27.229881
T12,New Kimberly,55.62,True,2026-03-23 04:21:24.356007
T13,Williamview,27.57,False,2026-01-19 09:20:07.789817
T14,Lake James,73.75,False,2026-02-23 10:50:21.041037
T15,Garciamouth,54.63,True,2026-03-15 07:12:30.605156
T16,South Edgarview,97.05,True,2026-01-22 07:44:51.067167
T17,South Darlene,1.81,False,2026-01-08 12:21:14.805081
T18,Lake Rileyport,44.03,True,2026-02-18 03:21:43.465442
T19,Ronaldberg,98.44,True,2026-02-18 11:12:06.078233
T20,Jamesstad,93.9,True,2026-03-27 12:11:43.395524
T21,New Jackborough,36.45,True,2026-01-08 00:36:24.787883
T22,Lake Robert,59.61,True,2026-01-20 20:03:29.066457
T23,Maryville,56.73,False,2026-01-08 02:17:09.192056
T24,Alexbury,61.56,False,2026-02-15 16:25:28.082601
T25,North Johnhaven,68.25,True,2026-03-29 16:28:52.854251
T26,East Jamesmouth,27.29,False,2026-01-29 17:26:27.019906
T27,Lake Cheryl,30.55,True,2026-03-10 10:56:37.497747
T28,North Amandamouth,38.86,False,2026-01-19 21:37:55.871940
T29,Markport,71.7,False,2026-02-17 06:48:11.127924
T30,Carlsonport,33.26,False,2026-01-26 22:23:39.847288
T31,New Brenda,55.07,False,2026-01-03 05:36:24.918068
T32,Port Erinville,23.73,False,2026-01-08 19:32:22.499534
T33,New Marymouth,13.28,False,2026-03-06 01:45:34.254468
T34,Whiteview,89.1,False,2026-01-29 16:10:14.653191
T35,East Karen,42.7,True,2026-01-17 01:17:22.093691
T36,Kristenborough,48.53,False,2026-02-06 09:07:01.738541
T37,South Larryburgh,49.39,False,2026-03-20 21:25:51.897598
T38,Port Sheilafurt,55.66,True,2026-02-25 08:01:01.252778
T39,Emmabury,28.34,False,2026-03-23 00:51:03.678955
T40,New Ryanmouth,77.26,False,2026-01-19 02:36:56.238383
T41,Luisview,48.08,False,2026-03-03 14:46:37.998137
T42,Maryville,23.6,False,2026-01-24 11:16:06.847599
T43,New Kathleenstad,33.66,True,2026-03-15 23:56:17.182085
T44,Lake Monica,81.12,True,2026-01-05 09:02:26.917440
T45,Reeseland,36.33,True,2026-02-24 12:52:58.724109
T46,Karenside,82.63,False,2026-01-24 19:57:08.288113
T47,Lake Valeriemouth,34.14,False,2026-01-17 13:48:15.780604
T48,Roberttown,8.06,True,2026-01-06 17:08:19.436239
T49,East Christopherfurt,46.87,True,2026-03-04 15:36:35.573189
